time,x1,y1,v1,r1,x2,y2,v2,r2,x3,y3,v3,r3
1716558486.125034,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.214136,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.303075,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.392143,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.480964,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.570161,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.659058,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.748125,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.836913,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.926161,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.014940,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.104143,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.193103,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.282043,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.371045,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.460181,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.549059,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.638122,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.727053,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.816170,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.905027,0,0,0,0,0,0,0,0,0,0,0,0
1716558487.994106,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.082851,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.171933,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.260968,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.349909,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.438781,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.527906,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.616855,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.705896,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.794736,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.883947,0,0,0,0,0,0,0,0,0,0,0,0
1716558488.972649,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.061868,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.150832,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.239888,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.328808,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.417692,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.506752,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.595690,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.684745,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.773813,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.862726,0,0,0,0,0,0,0,0,0,0,0,0
1716558489.951681,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.040708,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.129456,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.218458,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.307701,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.396679,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.485504,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.574750,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.663506,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.752620,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.841486,0,0,0,0,0,0,0,0,0,0,0,0
1716558490.930604,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.019479,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.108674,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.197565,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.286398,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.375462,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.464451,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.553353,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.642470,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.731097,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.820467,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.909307,0,0,0,0,0,0,0,0,0,0,0,0
1716558491.998172,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.087324,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.176174,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.265324,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.354540,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.443457,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.532433,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.621250,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.710216,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.799366,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.888267,0,0,0,0,0,0,0,0,0,0,0,0
1716558492.977155,0,0,0,0,0,0,0,0,0,0,0,0
1716558493.066345,0,0,0,0,0,0,0,0,0,0,0,0
1716558493.155188,0,0,0,0,0,0,0,0,0,0,0,0
1716558493.244345,0,0,0,0,0,0,0,0,0,0,0,0
1716558493.333241,0,0,0,0,0,0,0,0,0,0,0,0
1716558493.422346,0,0,0,0,0,0,0,0,0,0,0,0
1716558493.510963,0,0,0,0,0,0,0,0,0,0,0,0
1716558493.600316,0,0,0,0,0,0,0,0,0,0,0,0
1716558493.689202,0,0,0,0,0,0,0,0,0,0,0,0
